MODEL,DESCRIPTOR,MEDIA,DETACHMENT MEDIA,ATTACHMENT,SPECIFIC NOTES,DIAGNOSIS/REPLASE,PHASE,PRIOR TREATMENT(S),SOURCE OF CULTURE,1p,3p,11q,17q,ALK STATUS,MYCN STATUS,P53 STATUS,1:2,1:3 ,1:4 ,1:5,1:6,1:7,1:8,1:9,1:10,1:20,NOTES,RACK LOCATION:,LOCATION: BOX,LOCATION: ROW,LOCATION: POSITION,PASSAGE #,FREEZE DATE,INITIALS,LINEAGE,MYCO DATE,STR DATE,STR RESULT,AMELOGENIN (ALLELE 1),AMELOGENIN (ALLELE 2),D3S1358 (ALLELE 1),D3S1358 (ALLELE 2),,D1S1656 (ALLELE 1),D1S1656 (ALLELE 2),,D2S441 (ALLELE 1),D2S441 (ALLELE 2),D10S1248 (ALLELE 1),D10S1248 (ALLELE 2),,D13S317 (ALLELE 1),D13S317 (ALLELE 2),D13S317 (ALLELE 2),PENTA E (ALLELE 1),PENTA E (ALLELE 2),PENTA E (ALLELE 3),D16S539 (ALLELE 1),D16S539 (ALLELE 2),D18S51 (ALLELE 1),D18S51 (ALLELE 2),,D2S1338 (ALLELE 1),D2S1338 (ALLELE 2),D2S1338 (ALLELE 3),CSF1PO (ALLELE 1),CSF1PO (ALLELE 2),,PENTA D (ALLELE 1),PENTA D (ALLELE 2),PENTA D (ALLELE 3),TH01 (ALLELE 1),TH01 (ALLELE 2),vWA (ALLELE 1),vWA (ALLELE 2),vWA (ALLELE 3),D21S11 (ALLELE 1),D21S11 (ALLELE 2),,D7S820 (ALLELE 1),D7S820 (ALLELE 2),D5S818 (ALLELE 1),D5S818 (ALLELE 2),TPOX (ALLELE 1),TPOX (ALLELE 2),,DYS391 (ALLELE 1),D8S1179 (ALLELE 1),D8S1179 (ALLELE 2),D8S1179 (ALLELE 3),D12S391 (ALLELE 1),D12S391 (ALLELE 2),,D19S433 (ALLELE 1),D19S433 (ALLELE 2),,FGA (ALLELE 1),FGA (ALLELE 2),,D22S1045 (ALLELE 1),D22S1045 (ALLELE 2),,,Lab 
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,1,5,03/31/2017,LS,,03/31/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,2,5,03/31/2017,LS,,03/31/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,3,6,07/27/2017,klc,"thawed from LS, P5 03/31/2017",07/28/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,4,6,07/27/2017,klc,"thawed from LS, P5 03/31/2017",07/28/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,5,6,07/27/2017,klc,"thawed from LS, P5 03/31/2017",07/28/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
CHP-134,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2 mM L-Glutamine",0.02% Versene,Adherent,,Unknown,Progressing,"Cisplatin, carboplatin, cyclophosphamide, doxorubicin, etoposide, melphalan, and total body irradiation. Sample was collected after bone marrow transplant.",Bone Marrow,LOH p32.3-pterm; Gain p34.3-p36.22; Loss p36.22-pterm,GaiNAl p26.3,None,Gain q12-qterm,WT,Amplified,WT,NA,1,NA,1,NA,NA,2,NA,3,NA,,7,1,1,6,6,07/27/2017,klc,"thawed from LS, P5 03/31/2017",07/28/2017,,Good,X,Y,16,,,11,,,11.3,,14,,,8,11,,5,7,,11,13,15,18,,20,27,,9,13,,9,,,9,9.3,18,19,,28,29,,9,,11,12,8,,,10,8,14,,17,18,,12,13,,21,25,,15,18,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
